Repository,File Name,Class,Start Line,End Line,Displacement,Level
requests,cookies.py,Simple List,151,151,17,A1
requests,cookies.py,Simple List,272,272,18,A1
requests,cookies.py,Simple List,280,280,16,A1
requests,cookies.py,Simple List,292,292,18,A1
requests,cookies.py,Simple List,60,63,26,A1
requests,cookies.py,Simple Tuple,161,161,8,A1
requests,cookies.py,Simple Tuple,159,159,26,A1
requests,cookies.py,Simple Tuple,259,259,18,A1
requests,cookies.py,Simple Tuple,374,374,55,A1
requests,cookies.py,Simple Tuple,399,399,55,A1
requests,cookies.py,1 Nested Dictionary,447,461,13,B1
requests,cookies.py,Simple Dictionary,39,39,28,A2
requests,cookies.py,Simple Dictionary,306,306,21,A2
requests,cookies.py,Simple Dictionary,459,459,16,A2
requests,cookies.py,Simple Dictionary,500,500,13,A2
requests,cookies.py,Super Function,346,346,15,C2
requests,cookies.py,Super Function,317,317,19,C2
requests,cookies.py,Super Function,354,354,12,C2
requests,cookies.py,Simple Atributte,171,171,24,A2
requests,cookies.py,Simple Atributte,38,38,8,A2
requests,cookies.py,Simple Atributte,39,39,8,A2
requests,cookies.py,Simple Atributte,40,40,8,A2
requests,cookies.py,Simple Atributte,40,40,20,A2
requests,cookies.py,Simple Atributte,43,43,15,A2
requests,cookies.py,Simple Atributte,46,46,15,A2
requests,cookies.py,Simple Atributte,82,82,15,A2
requests,cookies.py,Simple Atributte,109,109,8,A2
requests,cookies.py,Simple Atributte,112,112,15,A2
requests,cookies.py,Simple Atributte,131,131,23,A2
requests,cookies.py,Simple Atributte,132,132,4,A2
requests,cookies.py,Simple Atributte,142,142,4,A2
requests,cookies.py,Simple Atributte,143,143,11,A2
requests,cookies.py,Simple Atributte,423,423,15,A2
requests,cookies.py,Simple Atributte,434,434,14,A2
requests,cookies.py,Simple Atributte,435,435,4,A2
requests,cookies.py,Simple Atributte,468,468,4,A2
requests,cookies.py,Simple Atributte,471,471,35,A2
requests,cookies.py,Simple Atributte,474,474,11,A2
requests,cookies.py,Simple Atributte,49,49,15,A2
requests,cookies.py,Simple Atributte,55,55,19,A2
requests,cookies.py,Simple Atributte,58,58,26,A2
requests,cookies.py,Simple Atributte,72,72,15,A2
requests,cookies.py,Simple Atributte,79,79,8,A2
requests,cookies.py,Simple Atributte,86,86,15,A2
requests,cookies.py,Simple Atributte,90,90,15,A2
requests,cookies.py,Simple Atributte,94,94,15,A2
requests,cookies.py,Simple Atributte,115,115,8,A2
requests,cookies.py,Simple Atributte,126,126,12,A2
requests,cookies.py,Simple Atributte,131,131,23,A2
requests,cookies.py,Simple Atributte,153,153,11,A2
requests,cookies.py,Simple Atributte,159,159,8,A2
requests,cookies.py,Simple Atributte,162,162,8,A2
requests,cookies.py,Simple Atributte,215,215,8,A2
requests,cookies.py,Simple Atributte,328,328,15,A2
requests,cookies.py,Simple Atributte,335,335,8,A2
requests,cookies.py,Simple Atributte,345,345,12,A2
requests,cookies.py,Simple Atributte,346,346,15,A2
requests,cookies.py,Simple Atributte,350,350,29,A2
requests,cookies.py,Simple Atributte,403,403,16,A2
requests,cookies.py,Simple Atributte,405,405,8,A2
requests,cookies.py,Simple Atributte,410,410,8,A2
requests,cookies.py,Special Class Attribute __dict__,411,411,34,B2
requests,cookies.py,Simple Atributte,412,412,12,A2
requests,cookies.py,Simple Atributte,417,417,8,A2
requests,cookies.py,Simple Atributte,418,418,8,A2
requests,cookies.py,Simple Atributte,432,432,15,A2
requests,cookies.py,Simple Atributte,437,437,8,A2
requests,cookies.py,Simple Atributte,497,497,13,A2
requests,cookies.py,Simple Atributte,503,503,14,A2
requests,cookies.py,Simple Atributte,521,521,26,A2
requests,cookies.py,Simple Atributte,536,536,33,A2
requests,cookies.py,Simple Atributte,542,542,29,A2
requests,cookies.py,Simple Atributte,40,40,29,A2
requests,cookies.py,Simple Atributte,46,46,24,A2
requests,cookies.py,Simple Atributte,54,54,15,A2
requests,cookies.py,Simple Atributte,55,55,19,A2
requests,cookies.py,Simple Atributte,57,57,32,A2
requests,cookies.py,Simple Atributte,58,58,26,A2
requests,cookies.py,Simple Atributte,61,61,12,A2
requests,cookies.py,Simple Atributte,61,61,33,A2
requests,cookies.py,Simple Atributte,61,61,46,A2
requests,cookies.py,Simple Atributte,61,61,61,A2
requests,cookies.py,Simple Atributte,62,62,12,A2
requests,cookies.py,Simple Atributte,69,69,23,A2
requests,cookies.py,Simple Atributte,69,69,50,A2
requests,cookies.py,Simple Atributte,72,72,15,A2
requests,cookies.py,Simple Atributte,72,72,41,A2
requests,cookies.py,Simple Atributte,115,115,8,A2
requests,cookies.py,Simple Atributte,143,143,11,A2
requests,cookies.py,Simple Atributte,155,155,44,A2
requests,cookies.py,Simple Atributte,157,157,40,A2
requests,cookies.py,Simple Atributte,159,159,27,A2
requests,cookies.py,Simple Atributte,159,159,42,A2
requests,cookies.py,Simple Atributte,159,159,55,A2
