Repository,File Name,Class,Start Line,End Line,Displacement,Level
_themes,flask_theme_support.py,Simple Dictionary,11,86,13,A2
_themes,flask_theme_support.py,Simple Atributte,19,19,8,A2
_themes,flask_theme_support.py,Simple Atributte,22,22,8,A2
_themes,flask_theme_support.py,Simple Atributte,23,23,8,A2
_themes,flask_theme_support.py,Simple Atributte,24,24,8,A2
_themes,flask_theme_support.py,Simple Atributte,25,25,8,A2
_themes,flask_theme_support.py,Simple Atributte,26,26,8,A2
_themes,flask_theme_support.py,Simple Atributte,27,27,8,A2
_themes,flask_theme_support.py,Simple Atributte,30,30,8,A2
_themes,flask_theme_support.py,Simple Atributte,38,38,8,A2
_themes,flask_theme_support.py,Simple Atributte,39,39,8,A2
_themes,flask_theme_support.py,Simple Atributte,40,40,8,A2
_themes,flask_theme_support.py,Simple Atributte,41,41,8,A2
_themes,flask_theme_support.py,Simple Atributte,42,42,8,A2
_themes,flask_theme_support.py,Simple Atributte,43,43,8,A2
_themes,flask_theme_support.py,Simple Atributte,44,44,8,A2
_themes,flask_theme_support.py,Simple Atributte,45,45,8,A2
_themes,flask_theme_support.py,Simple Atributte,46,46,8,A2
_themes,flask_theme_support.py,Simple Atributte,47,47,8,A2
_themes,flask_theme_support.py,Simple Atributte,48,48,8,A2
_themes,flask_theme_support.py,Simple Atributte,49,49,8,A2
_themes,flask_theme_support.py,Simple Atributte,50,50,8,A2
_themes,flask_theme_support.py,Simple Atributte,51,51,8,A2
_themes,flask_theme_support.py,Simple Atributte,52,52,8,A2
_themes,flask_theme_support.py,Simple Atributte,53,53,8,A2
_themes,flask_theme_support.py,Simple Atributte,54,54,8,A2
_themes,flask_theme_support.py,Simple Atributte,55,55,8,A2
_themes,flask_theme_support.py,Simple Atributte,60,60,8,A2
_themes,flask_theme_support.py,Simple Atributte,63,63,8,A2
_themes,flask_theme_support.py,Simple Atributte,64,64,8,A2
_themes,flask_theme_support.py,Simple Atributte,65,65,8,A2
_themes,flask_theme_support.py,Simple Atributte,66,66,8,A2
_themes,flask_theme_support.py,Simple Atributte,67,67,8,A2
_themes,flask_theme_support.py,Simple Atributte,68,68,8,A2
_themes,flask_theme_support.py,Simple Atributte,69,69,8,A2
_themes,flask_theme_support.py,Simple Atributte,70,70,8,A2
_themes,flask_theme_support.py,Simple Atributte,71,71,8,A2
_themes,flask_theme_support.py,Simple Atributte,72,72,8,A2
_themes,flask_theme_support.py,Simple Atributte,73,73,8,A2
_themes,flask_theme_support.py,Simple Atributte,76,76,8,A2
_themes,flask_theme_support.py,Simple Atributte,77,77,8,A2
_themes,flask_theme_support.py,Simple Atributte,78,78,8,A2
_themes,flask_theme_support.py,Simple Atributte,79,79,8,A2
_themes,flask_theme_support.py,Simple Atributte,80,80,8,A2
_themes,flask_theme_support.py,Simple Atributte,81,81,8,A2
_themes,flask_theme_support.py,Simple Atributte,82,82,8,A2
_themes,flask_theme_support.py,Simple Atributte,83,83,8,A2
_themes,flask_theme_support.py,Simple Atributte,84,84,8,A2
_themes,flask_theme_support.py,Simple Atributte,85,85,8,A2
_themes,flask_theme_support.py,Simple Atributte,40,40,8,A2
_themes,flask_theme_support.py,Simple Atributte,53,53,8,A2
_themes,flask_theme_support.py,Simple Atributte,54,54,8,A2
_themes,flask_theme_support.py,Simple Atributte,55,55,8,A2
_themes,flask_theme_support.py,Simple Assignment,8,8,4,A1
_themes,flask_theme_support.py,Simple Assignment,9,9,4,A1
_themes,flask_theme_support.py,Simple Assignment,11,86,4,A1
_themes,flask_theme_support.py,From,2,2,0,A2
_themes,flask_theme_support.py,From,3,4,0,A2
_themes,flask_theme_support.py,Inherited Class from Style,7,86,0,B1
