Repository,File Name,Class,Start Line,End Line,Displacement,Level
requests,auth.py,Simple List,85,88,12,A1
requests,auth.py,Simple List,308,311,12,A1
requests,auth.py,Simple Tuple,63,63,28,A1
requests,auth.py,Simple Dictionary,122,122,38,A2
requests,auth.py,Simple Atributte,80,80,8,A2
requests,auth.py,Simple Atributte,81,81,8,A2
requests,auth.py,Simple Atributte,111,111,8,A2
requests,auth.py,Simple Atributte,112,112,8,A2
requests,auth.py,Simple Atributte,114,114,8,A2
requests,auth.py,Simple Atributte,186,186,11,A2
requests,auth.py,Simple Atributte,218,218,8,A2
requests,auth.py,Simple Atributte,238,238,11,A2
requests,auth.py,Simple Atributte,283,283,8,A2
requests,auth.py,Simple Atributte,290,290,11,A2
requests,auth.py,Simple Atributte,302,302,8,A2
requests,auth.py,Simple Atributte,36,36,8,A2
requests,auth.py,Simple Atributte,46,46,8,A2
requests,auth.py,Simple Atributte,57,57,19,A2
requests,auth.py,Simple Atributte,60,60,19,A2
requests,auth.py,Simple Atributte,95,95,8,A2
requests,auth.py,Simple Atributte,95,95,53,A2
requests,auth.py,Simple Atributte,95,95,68,A2
requests,auth.py,Simple Atributte,103,103,8,A2
requests,auth.py,Simple Atributte,103,103,59,A2
requests,auth.py,Simple Atributte,103,103,74,A2
requests,auth.py,Simple Atributte,114,114,29,A2
requests,auth.py,Simple Atributte,119,119,12,A2
requests,auth.py,Simple Atributte,120,120,12,A2
requests,auth.py,Simple Atributte,121,121,12,A2
requests,auth.py,Simple Atributte,122,122,12,A2
requests,auth.py,Simple Atributte,123,123,12,A2
requests,auth.py,Simple Atributte,124,124,12,A2
requests,auth.py,Simple Atributte,131,131,16,A2
requests,auth.py,Simple Atributte,132,132,16,A2
requests,auth.py,Simple Atributte,133,133,14,A2
requests,auth.py,Simple Atributte,134,134,20,A2
requests,auth.py,Simple Atributte,135,135,17,A2
requests,auth.py,Simple Atributte,185,185,15,A2
requests,auth.py,Simple Atributte,195,195,20,A2
requests,auth.py,Simple Atributte,196,196,12,A2
requests,auth.py,Simple Atributte,198,198,12,A2
requests,auth.py,Simple Atributte,200,200,12,A2
requests,auth.py,Simple Atributte,201,201,13,A2
requests,auth.py,Simple Atributte,202,202,13,A2
requests,auth.py,Simple Atributte,203,203,13,A2
requests,auth.py,Simple Atributte,218,218,8,A2
requests,auth.py,Simple Atributte,239,239,12,A2
requests,auth.py,Simple Atributte,251,251,12,A2
requests,auth.py,Simple Atributte,254,254,11,A2
requests,auth.py,Simple Atributte,258,258,17,A2
requests,auth.py,Simple Atributte,262,262,12,A2
requests,auth.py,Simple Atributte,264,264,12,A2
requests,auth.py,Simple Atributte,268,268,12,A2
requests,auth.py,Simple Atributte,279,279,12,A2
requests,auth.py,Simple Atributte,283,283,8,A2
requests,auth.py,Simple Atributte,288,288,8,A2
requests,auth.py,Simple Atributte,290,290,11,A2
requests,auth.py,Simple Atributte,293,293,12,A2
requests,auth.py,Simple Atributte,300,300,8,A2
requests,auth.py,Simple Atributte,300,300,36,A2
requests,auth.py,Simple Atributte,301,301,8,A2
requests,auth.py,Simple Atributte,301,301,36,A2
requests,auth.py,Simple Atributte,302,302,8,A2
requests,auth.py,Simple Atributte,37,40,12,A2
requests,auth.py,Simple Atributte,47,50,12,A2
requests,auth.py,Simple Atributte,63,63,8,A2
requests,auth.py,Simple Atributte,118,118,23,A2
requests,auth.py,Simple Atributte,119,119,12,A2
requests,auth.py,Simple Atributte,120,120,12,A2
requests,auth.py,Simple Atributte,121,121,12,A2
requests,auth.py,Simple Atributte,122,122,12,A2
requests,auth.py,Simple Atributte,123,123,12,A2
requests,auth.py,Simple Atributte,124,124,12,A2
requests,auth.py,Simple Atributte,131,131,16,A2
requests,auth.py,Simple Atributte,132,132,16,A2
requests,auth.py,Simple Atributte,133,133,14,A2
requests,auth.py,Simple Atributte,134,134,20,A2
requests,auth.py,Simple Atributte,135,135,17,A2
requests,auth.py,Simple Atributte,141,141,25,A2
requests,auth.py,Simple Atributte,189,189,16,A2
requests,auth.py,Simple Atributte,189,189,40,A2
requests,auth.py,Simple Atributte,195,195,20,A2
requests,auth.py,Simple Atributte,196,196,12,A2
requests,auth.py,Simple Atributte,198,198,12,A2
requests,auth.py,Simple Atributte,199,199,19,A2
requests,auth.py,Simple Atributte,205,205,17,A2
requests,auth.py,Simple Atributte,222,222,25,A2
requests,auth.py,Simple Atributte,239,239,12,A2
requests,auth.py,Simple Atributte,250,250,22,A2
requests,auth.py,Simple Atributte,251,251,12,A2
requests,auth.py,Simple Atributte,254,254,11,A2
requests,auth.py,Simple Atributte,257,257,12,A2
requests,auth.py,Simple Atributte,257,257,32,A2
requests,auth.py,Simple Atributte,258,258,17,A2
requests,auth.py,Simple Atributte,260,260,42,A2
requests,auth.py,Simple Atributte,262,262,12,A2
requests,auth.py,Simple Atributte,263,263,18,A2
requests,auth.py,Simple Atributte,264,264,12,A2
requests,auth.py,Simple Atributte,269,269,12,A2
requests,auth.py,Simple Atributte,270,270,19,A2
requests,auth.py,Simple Atributte,271,271,35,A2
requests,auth.py,Simple Atributte,271,271,50,A2
requests,auth.py,Simple Atributte,271,271,61,A2
requests,auth.py,Simple Atributte,272,272,12,A2
requests,auth.py,Simple Atributte,272,272,33,A2
requests,auth.py,Simple Atributte,274,274,12,A2
requests,auth.py,Simple Atributte,274,274,44,A2
requests,auth.py,Simple Atributte,275,275,16,A2
requests,auth.py,Simple Atributte,275,275,29,A2
requests,auth.py,Simple Atributte,277,277,17,A2
requests,auth.py,Simple Atributte,278,278,12,A2
requests,auth.py,Simple Atributte,291,291,12,A2
requests,auth.py,Simple Atributte,291,291,41,A2
requests,auth.py,Simple Atributte,291,291,66,A2
requests,auth.py,Simple Atributte,291,291,76,A2
requests,auth.py,Simple Atributte,293,293,12,A2
requests,auth.py,Simple Atributte,293,293,37,A2
requests,auth.py,Simple Atributte,299,299,12,A2
requests,auth.py,Simple Atributte,86,86,16,A2
requests,auth.py,Simple Atributte,87,87,16,A2
requests,auth.py,Simple Atributte,133,133,14,A2
requests,auth.py,Simple Atributte,134,134,20,A2
requests,auth.py,Simple Atributte,135,135,17,A2
requests,auth.py,Simple Atributte,148,148,23,A2
requests,auth.py,Simple Atributte,187,187,24,A2
requests,auth.py,Simple Atributte,199,199,19,A2
requests,auth.py,Simple Atributte,200,200,16,A2
requests,auth.py,Simple Atributte,202,202,13,A2
requests,auth.py,Simple Atributte,257,257,12,A2
requests,auth.py,Simple Atributte,257,257,32,A2
requests,auth.py,Simple Atributte,260,260,23,A2
requests,auth.py,Simple Atributte,260,260,42,A2
requests,auth.py,Simple Atributte,263,263,47,A2
requests,auth.py,Simple Atributte,264,264,56,A2
requests,auth.py,Simple Atributte,270,270,19,A2
requests,auth.py,Simple Atributte,277,277,17,A2
requests,auth.py,Simple Atributte,278,278,12,A2
requests,auth.py,Simple Atributte,293,293,37,A2
requests,auth.py,Simple Atributte,299,299,12,A2
requests,auth.py,Simple Atributte,309,309,16,A2
requests,auth.py,Simple Atributte,310,310,16,A2
requests,auth.py,Simple Atributte,147,147,24,A2
requests,auth.py,Simple Atributte,156,156,23,A2
requests,auth.py,Simple Atributte,200,200,16,A2
requests,auth.py,Simple Atributte,205,205,17,A2
requests,auth.py,Simple Atributte,211,211,40,A2
requests,auth.py,Simple Atributte,257,257,12,A2
requests,auth.py,Simple Atributte,63,63,18,A2
requests,auth.py,Simple Atributte,148,148,23,A2
requests,auth.py,Simple Atributte,155,155,24,A2
requests,auth.py,Simple Atributte,164,164,23,A2
requests,auth.py,Simple Atributte,156,156,23,A2
requests,auth.py,Simple Atributte,163,163,24,A2
requests,auth.py,Simple Atributte,172,172,23,A2
requests,auth.py,Simple Atributte,164,164,23,A2
requests,auth.py,Simple Atributte,171,171,24,A2
requests,auth.py,Simple Atributte,172,172,23,A2
requests,auth.py,Simple Assignment,21,21,0,A1
requests,auth.py,Simple Assignment,22,22,0,A1
requests,auth.py,Assigment with sum (total = total + 1),62,64,4,A1
requests,auth.py,Simple Assignment,43,43,8,A1
requests,auth.py,Simple Assignment,53,53,8,A1
requests,auth.py,Simple Assignment,57,57,8,A1
requests,auth.py,Simple Assignment,60,60,8,A1
requests,auth.py,Simple Assignment,80,80,8,A1
requests,auth.py,Simple Assignment,81,81,8,A1
requests,auth.py,Simple Assignment,95,95,8,A1
requests,auth.py,Simple Assignment,103,103,8,A1
requests,auth.py,Simple Assignment,111,111,8,A1
requests,auth.py,Simple Assignment,112,112,8,A1
requests,auth.py,Simple Assignment,114,114,8,A1
requests,auth.py,Simple Assignment,131,131,8,A1
requests,auth.py,Simple Assignment,132,132,8,A1
requests,auth.py,Simple Assignment,133,133,8,A1
requests,auth.py,Simple Assignment,134,134,8,A1
requests,auth.py,Simple Assignment,135,135,8,A1
