Repository,File Name,Class,Start Line,End Line,Displacement,Level
requests,models.py,Simple List,646,657,16,A1
requests,models.py,Simple List,89,89,14,A1
requests,models.py,Simple List,151,151,21,A1
requests,models.py,Simple List,686,686,23,A1
requests,models.py,Simple List,273,273,15,A1
requests,models.py,Simple List,274,274,16,A1
requests,models.py,Simple List,519,522,12,A1
requests,models.py,Simple List,636,636,25,A1
requests,models.py,Simple List,157,157,22,A1
requests,models.py,Simple List,481,481,37,A1
requests,models.py,Simple List,120,120,21,A1
requests,models.py,Simple List,123,123,25,A1
requests,models.py,Simple Tuple,71,77,17,A1
requests,models.py,Simple Tuple,155,155,12,A1
requests,models.py,Simple Tuple,173,173,12,A1
requests,models.py,Simple Tuple,201,201,8,A1
requests,models.py,Simple Tuple,203,203,15,A1
requests,models.py,Simple Tuple,280,280,12,A1
requests,models.py,Simple Tuple,721,721,12,A1
requests,models.py,Simple Tuple,115,115,28,A1
requests,models.py,Simple Tuple,434,434,12,A1
requests,models.py,Simple Tuple,471,471,30,A1
requests,models.py,Simple Tuple,934,934,15,A1
requests,models.py,Simple Tuple,177,177,29,A1
requests,models.py,Simple Tuple,188,188,30,A1
requests,models.py,Simple Tuple,456,456,29,A1
requests,models.py,Simple Tuple,492,492,16,A1
requests,models.py,Simple Tuple,528,528,19,A1
requests,models.py,Simple Tuple,556,556,16,A1
requests,models.py,Simple Tuple,780,783,66,A1
requests,models.py,Simple Tuple,121,121,16,A1
requests,models.py,Simple Tuple,179,179,20,A1
requests,models.py,Simple Tuple,582,582,31,A1
requests,models.py,Simple Tuple,165,170,24,A1
requests,models.py,Simple Tuple,181,181,20,A1
requests,models.py,Simple Tuple,183,183,20,A1
requests,models.py,Simple Tuple,521,521,37,A1
requests,models.py,Simple Tuple,127,130,28,A1
requests,models.py,Simple Dictionary,984,984,25,A2
requests,models.py,Simple Dictionary,275,275,18,A2
requests,models.py,Simple Dictionary,276,276,17,A2
requests,models.py,Simple Dictionary,277,277,16,A2
requests,models.py,Simple Dictionary,692,692,43,A2
requests,models.py,Simple Dictionary,152,152,41,A2
requests,models.py,Simple Dictionary,153,153,41,A2
requests,models.py,Files --> 'read' call function,191,191,24,A2
requests,models.py,Files --> 'read' call function,829,829,28,A2
requests,models.py,If statements expression (else),273,273,15,B1
requests,models.py,If statements expression (else),274,274,16,B1
requests,models.py,If statements expression (else),275,275,18,B1
requests,models.py,If statements expression (else),276,276,17,B1
requests,models.py,If statements expression (else),277,277,16,B1
requests,models.py,If statements expression (else),387,387,20,B1
requests,models.py,If statements expression (else),847,847,17,B1
requests,models.py,If statements expression (else),595,595,19,B1
requests,models.py,If statements expression (else),166,168,28,B1
requests,models.py,If statements expression (else),169,169,28,B1
requests,models.py,If statements expression (else),128,128,32,B1
requests,models.py,If statements expression (else),129,129,32,B1
requests,models.py,Simple Atributte,72,72,4,A2
requests,models.py,Simple Atributte,73,73,4,A2
requests,models.py,Simple Atributte,74,74,4,A2
requests,models.py,Simple Atributte,75,75,4,A2
requests,models.py,Simple Atributte,76,76,4,A2
requests,models.py,Simple Atributte,93,93,15,A2
requests,models.py,Simple Atributte,99,99,16,A2
requests,models.py,Simple Atributte,279,279,8,A2
requests,models.py,Simple Atributte,283,283,8,A2
requests,models.py,Simple Atributte,284,284,8,A2
requests,models.py,Simple Atributte,285,285,8,A2
requests,models.py,Simple Atributte,286,286,8,A2
requests,models.py,Simple Atributte,287,287,8,A2
requests,models.py,Simple Atributte,288,288,8,A2
requests,models.py,Simple Atributte,289,289,8,A2
requests,models.py,Simple Atributte,290,290,8,A2
requests,models.py,Simple Atributte,291,291,8,A2
requests,models.py,Simple Atributte,337,337,8,A2
requests,models.py,Simple Atributte,339,339,8,A2
requests,models.py,Simple Atributte,341,341,8,A2
requests,models.py,Simple Atributte,344,344,8,A2
requests,models.py,Simple Atributte,346,346,8,A2
requests,models.py,Simple Atributte,348,348,8,A2
requests,models.py,Simple Atributte,350,350,8,A2
requests,models.py,Simple Atributte,385,385,8,A2
requests,models.py,Simple Atributte,385,385,19,A2
requests,models.py,Simple Atributte,386,386,8,A2
requests,models.py,Simple Atributte,386,386,16,A2
requests,models.py,Simple Atributte,387,387,8,A2
requests,models.py,Simple Atributte,388,388,8,A2
requests,models.py,Simple Atributte,389,389,8,A2
requests,models.py,Simple Atributte,389,389,17,A2
requests,models.py,Simple Atributte,390,390,8,A2
requests,models.py,Simple Atributte,390,390,18,A2
requests,models.py,Simple Atributte,391,391,8,A2
requests,models.py,Simple Atributte,391,391,27,A2
requests,models.py,Simple Atributte,396,396,8,A2
requests,models.py,Simple Atributte,482,482,8,A2
requests,models.py,Simple Atributte,487,487,8,A2
requests,models.py,Simple Atributte,571,571,8,A2
requests,models.py,Simple Atributte,660,660,8,A2
requests,models.py,Simple Atributte,661,661,8,A2
requests,models.py,Simple Atributte,662,662,8,A2
requests,models.py,Simple Atributte,665,665,8,A2
requests,models.py,Simple Atributte,670,670,8,A2
requests,models.py,Simple Atributte,675,675,8,A2
requests,models.py,Simple Atributte,678,678,8,A2
requests,models.py,Simple Atributte,681,681,8,A2
requests,models.py,Simple Atributte,686,686,8,A2
requests,models.py,Simple Atributte,689,689,8,A2
requests,models.py,Simple Atributte,692,692,8,A2
requests,models.py,Simple Atributte,700,700,8,A2
requests,models.py,Simple Atributte,704,704,8,A2
requests,models.py,Simple Atributte,739,739,15,A2
requests,models.py,Simple Atributte,749,749,15,A2
requests,models.py,Simple Atributte,788,788,15,A2
requests,models.py,Simple Atributte,902,902,8,A2
requests,models.py,Simple Atributte,905,905,15,A2
requests,models.py,Simple Atributte,922,922,19,A2
requests,models.py,Simple Atributte,91,91,21,A2
requests,models.py,Simple Atributte,97,97,8,A2
requests,models.py,Simple Atributte,104,104,15,A2
requests,models.py,Simple Atributte,210,210,24,A2
requests,models.py,Simple Atributte,299,299,8,A2
requests,models.py,Simple Atributte,367,367,8,A2
requests,models.py,Simple Atributte,368,368,8,A2
requests,models.py,Simple Atributte,369,369,8,A2
requests,models.py,Simple Atributte,370,370,8,A2
requests,models.py,Simple Atributte,371,371,8,A2
requests,models.py,Simple Atributte,372,372,8,A2
requests,models.py,Simple Atributte,378,378,8,A2
requests,models.py,Simple Atributte,388,388,38,A2
requests,models.py,Simple Atributte,397,397,11,A2
requests,models.py,Simple Atributte,398,398,12,A2
requests,models.py,Simple Atributte,406,406,15,A2
requests,models.py,Simple Atributte,423,423,14,A2
requests,models.py,Simple Atributte,429,429,12,A2
requests,models.py,Simple Atributte,474,474,21,A2
requests,models.py,Simple Atributte,622,622,31,A2
requests,models.py,Simple Atributte,623,623,12,A2
requests,models.py,Simple Atributte,625,625,12,A2
requests,models.py,Simple Atributte,627,627,42,A2
requests,models.py,Simple Atributte,700,700,23,A2
requests,models.py,Simple Atributte,710,710,8,A2
requests,models.py,Simple Atributte,715,715,15,A2
requests,models.py,Simple Atributte,716,716,12,A2
requests,models.py,Simple Atributte,721,721,27,A2
requests,models.py,Simple Atributte,753,753,15,A2
requests,models.py,Simple Atributte,834,834,12,A2
requests,models.py,Simple Atributte,836,836,11,A2
requests,models.py,Simple Atributte,843,843,36,A2
requests,models.py,Simple Atributte,847,847,34,A2
requests,models.py,Simple Atributte,866,866,21,A2
requests,models.py,Simple Atributte,892,892,11,A2
requests,models.py,Simple Atributte,894,894,15,A2
requests,models.py,Simple Atributte,924,924,15,A2
requests,models.py,Simple Atributte,928,928,11,A2
requests,models.py,Simple Atributte,929,929,23,A2
requests,models.py,Simple Atributte,953,953,33,A2
requests,models.py,Simple Atributte,982,982,17,A2
requests,models.py,Simple Atributte,999,999,22,A2
requests,models.py,Simple Atributte,1009,1009,21,A2
requests,models.py,Simple Atributte,1011,1011,18,A2
requests,models.py,Simple Atributte,1030,1030,15,A2
requests,models.py,Simple Atributte,1033,1033,31,A2
requests,models.py,Simple Atributte,101,101,12,A2
requests,models.py,Simple Atributte,102,102,12,A2
requests,models.py,Simple Atributte,198,198,12,A2
requests,models.py,Simple Atributte,199,199,12,A2
requests,models.py,Simple Atributte,214,214,12,A2
requests,models.py,Simple Atributte,224,224,12,A2
requests,models.py,Simple Atributte,280,280,27,A2
requests,models.py,Simple Atributte,281,281,12,A2
requests,models.py,Simple Atributte,294,294,28,A2
requests,models.py,Simple Atributte,300,300,19,A2
requests,models.py,Simple Atributte,301,301,16,A2
requests,models.py,Simple Atributte,302,302,20,A2
requests,models.py,Simple Atributte,303,303,18,A2
requests,models.py,Simple Atributte,304,304,17,A2
requests,models.py,Simple Atributte,305,305,17,A2
requests,models.py,Simple Atributte,306,306,19,A2
requests,models.py,Simple Atributte,307,307,17,A2
requests,models.py,Simple Atributte,308,308,20,A2
requests,models.py,Simple Atributte,309,309,18,A2
requests,models.py,Simple Atributte,381,381,36,A2
requests,models.py,Simple Atributte,387,387,43,A2
requests,models.py,Simple Atributte,387,387,20,A2
requests,models.py,Simple Atributte,405,405,19,A2
requests,models.py,Simple Atributte,418,418,18,A2
requests,models.py,Simple Atributte,456,456,13,A2
requests,models.py,Simple Atributte,489,489,26,A2
requests,models.py,Simple Atributte,565,565,12,A2
requests,models.py,Simple Atributte,594,594,41,A2
requests,models.py,Simple Atributte,606,606,12,A2
requests,models.py,Special Class Attribute __dict__,606,606,33,B2
requests,models.py,Simple Atributte,609,609,12,A2
requests,models.py,Simple Atributte,609,609,40,A2
requests,models.py,Simple Atributte,629,629,12,A2
requests,models.py,Simple Atributte,638,638,12,A2
requests,models.py,Simple Atributte,718,718,60,A2
requests,models.py,Simple Atributte,729,729,29,A2
requests,models.py,Simple Atributte,765,765,12,A2
requests,models.py,Simple Atributte,775,775,29,A2
requests,models.py,Simple Atributte,775,775,46,A2
requests,models.py,Simple Atributte,780,780,29,A2
requests,models.py,Simple Atributte,780,780,46,A2
requests,models.py,Simple Atributte,793,793,15,A2
requests,models.py,Simple Atributte,793,793,30,A2
requests,models.py,Simple Atributte,814,814,23,A2
requests,models.py,Simple Atributte,836,836,49,A2
requests,models.py,Simple Atributte,898,898,16,A2
requests,models.py,Simple Atributte,900,900,16,A2
requests,models.py,Simple Atributte,933,933,26,A2
requests,models.py,Simple Atributte,953,953,15,A2
requests,models.py,Simple Atributte,958,958,38,A2
