Repository,File Name,Class,Start Line,End Line,Displacement,Level
requests,__version__.py,Simple Assignment,5,5,0,A1
requests,__version__.py,Simple Assignment,6,6,0,A1
requests,__version__.py,Simple Assignment,7,7,0,A1
requests,__version__.py,Simple Assignment,8,8,0,A1
requests,__version__.py,Simple Assignment,9,9,0,A1
requests,__version__.py,Simple Assignment,10,10,0,A1
requests,__version__.py,Simple Assignment,11,11,0,A1
requests,__version__.py,Simple Assignment,12,12,0,A1
requests,__version__.py,Simple Assignment,13,13,0,A1
requests,__version__.py,Simple Assignment,14,14,0,A1
