Repository,File Name,Class,Start Line,End Line,Displacement,Level
docs,conf.py,Simple List,38,43,13,A1
docs,conf.py,Simple List,46,46,17,A1
docs,conf.py,Simple List,88,88,19,A1
docs,conf.py,Simple List,158,158,19,A1
docs,conf.py,Simple List,249,251,18,A1
docs,conf.py,Simple List,278,278,12,A1
docs,conf.py,Simple List,289,299,20,A1
docs,conf.py,Simple List,360,360,21,A1
docs,conf.py,Simple List,175,175,13,A1
docs,conf.py,Simple List,176,183,10,A1
docs,conf.py,Simple List,278,278,65,A1
docs,conf.py,Simple Tuple,250,250,4,A1
docs,conf.py,Simple Tuple,278,278,13,A1
docs,conf.py,Simple Tuple,290,298,4,A1
docs,conf.py,Simple Tuple,384,384,14,A1
docs,conf.py,Simple Tuple,385,385,15,A1
docs,conf.py,Simple Dictionary,127,134,21,A2
docs,conf.py,2 List Dictionary,174,184,16,B1
docs,conf.py,Simple Dictionary,235,244,17,A2
docs,conf.py,Simple Dictionary,383,386,22,A2
docs,conf.py,Simple Atributte,69,69,10,A2
docs,conf.py,Simple Atributte,71,71,10,A2
docs,conf.py,Simple Atributte,24,24,0,A2
docs,conf.py,Simple Atributte,25,25,0,A2
docs,conf.py,Simple Atributte,24,24,0,A2
docs,conf.py,Simple Atributte,24,24,19,A2
docs,conf.py,Simple Atributte,25,25,0,A2
docs,conf.py,Simple Atributte,25,25,19,A2
docs,conf.py,Simple Atributte,24,24,19,A2
docs,conf.py,Simple Atributte,25,25,19,A2
docs,conf.py,Simple Assignment,38,43,0,A1
docs,conf.py,Simple Assignment,46,46,0,A1
docs,conf.py,Simple Assignment,51,51,0,A1
docs,conf.py,Simple Assignment,57,57,0,A1
docs,conf.py,Simple Assignment,60,60,0,A1
docs,conf.py,Simple Assignment,61,61,0,A1
docs,conf.py,Simple Assignment,62,62,0,A1
docs,conf.py,Simple Assignment,69,69,0,A1
docs,conf.py,Simple Assignment,71,71,0,A1
docs,conf.py,Simple Assignment,78,78,0,A1
docs,conf.py,Simple Assignment,88,88,0,A1
docs,conf.py,Simple Assignment,95,95,0,A1
docs,conf.py,Simple Assignment,99,99,0,A1
docs,conf.py,Simple Assignment,106,106,0,A1
docs,conf.py,Simple Assignment,115,115,0,A1
docs,conf.py,Simple Assignment,122,122,0,A1
docs,conf.py,Simple Assignment,127,134,0,A1
docs,conf.py,Simple Assignment,158,158,0,A1
docs,conf.py,Simple Assignment,171,171,0,A1
docs,conf.py,Simple Assignment,174,184,0,A1
docs,conf.py,Simple Assignment,200,200,0,A1
docs,conf.py,Simple Assignment,203,203,0,A1
docs,conf.py,Simple Assignment,206,206,0,A1
docs,conf.py,Simple Assignment,231,231,0,A1
docs,conf.py,Simple Assignment,235,244,0,A1
docs,conf.py,Simple Assignment,249,251,0,A1
docs,conf.py,Simple Assignment,278,278,0,A1
docs,conf.py,Simple Assignment,289,299,0,A1
docs,conf.py,Simple Assignment,317,317,0,A1
docs,conf.py,Simple Assignment,318,318,0,A1
docs,conf.py,Simple Assignment,319,319,0,A1
docs,conf.py,Simple Assignment,320,320,0,A1
docs,conf.py,Simple Assignment,360,360,0,A1
docs,conf.py,Simple Assignment,383,386,0,A1
docs,conf.py,Import,15,15,0,A2
docs,conf.py,Import,16,16,0,A2
docs,conf.py,Import,27,27,0,A2
