Repository,File Name,Class,Start Line,End Line,Displacement,Level
requests,hooks.py,Simple List,12,12,8,A1
requests,hooks.py,Simple List,16,16,19,A1
requests,hooks.py,Simple List,28,28,20,A1
requests,hooks.py,Simple Dictionary,24,24,21,A2
requests,hooks.py,Simple Atributte,25,25,12,A2
requests,hooks.py,Simple Dictionary Comprehension,16,16,11,C1
requests,hooks.py,Simple Assignment,12,12,0,A1
requests,hooks.py,Simple Assignment,24,24,4,A1
requests,hooks.py,Simple Assignment,25,25,4,A1
requests,hooks.py,Simple Assignment,28,28,12,A1
requests,hooks.py,Simple Assignment,30,30,12,A1
requests,hooks.py,Simple Assignment,32,32,16,A1
requests,hooks.py,Simple If statements,26,32,4,A1
requests,hooks.py,Simple If statements,27,28,8,A1
requests,hooks.py,Simple If statements,31,32,12,A1
requests,hooks.py,Simple For Loop,29,32,8,A1
requests,hooks.py,Function,15,16,0,A1
requests,hooks.py,Function with Simple argument with ** argument,22,33,0,B1
requests,hooks.py,Return,16,16,4,A1
requests,hooks.py,Return,33,33,4,A1
