Repository,File Name,Class,Start Line,End Line,Displacement,Level
requests,sessions.py,Simple List,374,387,16,A1
requests,sessions.py,Simple List,173,173,15,A1
requests,sessions.py,Simple List,97,97,65,A1
requests,sessions.py,Simple List,100,100,65,A1
requests,sessions.py,Simple List,725,725,22,A1
requests,sessions.py,Simple List,201,201,31,A1
requests,sessions.py,Simple Tuple,148,148,23,A1
requests,sessions.py,Simple Tuple,786,786,12,A1
requests,sessions.py,Simple Tuple,815,815,12,A1
requests,sessions.py,Simple Tuple,84,84,23,A1
requests,sessions.py,Simple Tuple,323,323,12,A1
requests,sessions.py,Simple Tuple,760,760,16,A1
requests,sessions.py,Simple Tuple,139,139,35,A1
requests,sessions.py,Simple Tuple,141,141,35,A1
requests,sessions.py,Simple Tuple,187,187,19,A1
requests,sessions.py,Simple Tuple,224,227,39,A1
requests,sessions.py,Simple Tuple,229,229,33,A1
requests,sessions.py,Simple Tuple,325,325,12,A1
requests,sessions.py,Simple Tuple,325,325,33,A1
requests,sessions.py,Simple Dictionary,403,403,23,A2
requests,sessions.py,Simple Dictionary,411,411,22,A2
requests,sessions.py,Simple Dictionary,582,585,22,A2
requests,sessions.py,Simple Dictionary,778,778,15,A2
requests,sessions.py,Simple Dictionary,444,444,43,A2
requests,sessions.py,Simple Dictionary,467,467,37,A2
requests,sessions.py,Simple Dictionary,575,575,29,A2
requests,sessions.py,Simple Dictionary,566,566,25,A2
requests,sessions.py,Simple Dictionary,568,568,29,A2
requests,sessions.py,Files --> 'read' call function,188,188,16,A2
requests,sessions.py,If statements expression (else),299,299,19,B1
requests,sessions.py,If statements expression (else),758,758,23,B1
requests,sessions.py,Simple Atributte,55,55,3,A2
requests,sessions.py,Simple Atributte,56,56,22,A2
requests,sessions.py,Simple Atributte,58,58,22,A2
requests,sessions.py,Simple Atributte,80,80,4,A2
requests,sessions.py,Simple Atributte,115,115,11,A2
requests,sessions.py,Simple Atributte,176,176,28,A2
requests,sessions.py,Simple Atributte,288,288,18,A2
requests,sessions.py,Simple Atributte,289,289,14,A2
requests,sessions.py,Simple Atributte,315,315,18,A2
requests,sessions.py,Simple Atributte,316,316,17,A2
requests,sessions.py,Simple Atributte,336,336,17,A2
requests,sessions.py,Simple Atributte,352,352,8,A2
requests,sessions.py,Simple Atributte,394,394,8,A2
requests,sessions.py,Simple Atributte,398,398,8,A2
requests,sessions.py,Simple Atributte,403,403,8,A2
requests,sessions.py,Simple Atributte,406,406,8,A2
requests,sessions.py,Simple Atributte,411,411,8,A2
requests,sessions.py,Simple Atributte,414,414,8,A2
