Repository,File Name,Class,Start Line,End Line,Displacement,Level
requests,_internal_utils.py,Simple Tuple,17,17,25,A1
requests,_internal_utils.py,Simple Tuple,18,18,26,A1
requests,_internal_utils.py,Simple Dictionary,19,22,20,A2
requests,_internal_utils.py,Simple Atributte,12,12,29,A2
requests,_internal_utils.py,Simple Atributte,13,13,28,A2
requests,_internal_utils.py,Simple Atributte,14,14,30,A2
requests,_internal_utils.py,Simple Atributte,15,15,29,A2
requests,_internal_utils.py,Simple Atributte,33,33,14,A2
requests,_internal_utils.py,Simple Atributte,47,47,8,A2
requests,_internal_utils.py,Simple Assignment,12,12,0,A1
requests,_internal_utils.py,Simple Assignment,13,13,0,A1
requests,_internal_utils.py,Simple Assignment,14,14,0,A1
requests,_internal_utils.py,Simple Assignment,15,15,0,A1
requests,_internal_utils.py,Simple Assignment,17,17,0,A1
requests,_internal_utils.py,Simple Assignment,18,18,0,A1
requests,_internal_utils.py,Simple Assignment,19,22,0,A1
requests,_internal_utils.py,Simple Assignment,31,31,8,A1
requests,_internal_utils.py,Simple Assignment,33,33,8,A1
requests,_internal_utils.py,'assert' exception,45,45,4,B2
requests,_internal_utils.py,Import're' module,8,8,0,C1
requests,_internal_utils.py,Relative From,10,10,0,B1
requests,_internal_utils.py,Simple If statements,30,33,4,A1
requests,_internal_utils.py,Exception --> try/except,46,50,4,B1
requests,_internal_utils.py,Function with Simple argument with Default argument,25,35,0,A2
requests,_internal_utils.py,Function with Simple argument,38,50,0,A1
requests,_internal_utils.py,Return,35,35,4,A1
requests,_internal_utils.py,Return,48,48,8,A1
requests,_internal_utils.py,Return,50,50,8,A1
