Repository,File Name,Class,Start Line,End Line,Displacement,Level
tests,conftest.py,Simple Tuple,50,50,24,A1
tests,conftest.py,Simple Tuple,55,55,10,A1
tests,conftest.py,Simple Atributte,25,25,1,A2
tests,conftest.py,Simple Atributte,30,30,1,A2
tests,conftest.py,Simple Atributte,35,35,1,A2
tests,conftest.py,Simple Atributte,51,51,4,A2
tests,conftest.py,Simple Atributte,41,41,13,A2
tests,conftest.py,Simple Atributte,42,42,9,A2
tests,conftest.py,Simple Atributte,44,44,18,A2
tests,conftest.py,Simple Atributte,46,46,4,A2
tests,conftest.py,Simple Atributte,48,48,14,A2
tests,conftest.py,Simple Atributte,48,48,41,A2
tests,conftest.py,Simple Atributte,49,49,4,A2
tests,conftest.py,Simple Atributte,51,51,20,A2
tests,conftest.py,Simple Atributte,51,51,40,A2
tests,conftest.py,Simple Atributte,52,52,20,A2
tests,conftest.py,Simple Atributte,53,53,4,A2
tests,conftest.py,Simple Atributte,57,57,4,A2
tests,conftest.py,Simple Atributte,58,58,4,A2
tests,conftest.py,Simple Atributte,17,17,18,A2
tests,conftest.py,Simple Atributte,46,46,4,A2
tests,conftest.py,Simple Atributte,48,48,41,A2
tests,conftest.py,Simple Atributte,52,52,44,A2
tests,conftest.py,Simple Atributte,17,17,18,A2
tests,conftest.py,Simple Atributte,20,20,36,A2
tests,conftest.py,Simple Atributte,55,55,23,A2
tests,conftest.py,Assigment with sum (total = total + 1),17,17,4,A1
tests,conftest.py,Simple Assignment,41,41,4,A1
tests,conftest.py,Simple Assignment,42,42,4,A1
tests,conftest.py,Simple Assignment,44,44,4,A1
tests,conftest.py,Simple Assignment,45,45,4,A1
tests,conftest.py,Simple Assignment,48,48,4,A1
tests,conftest.py,Simple Assignment,50,50,4,A1
tests,conftest.py,Simple Assignment,51,51,4,A1
tests,conftest.py,Simple Assignment,52,52,4,A1
tests,conftest.py,Import,7,7,0,A2
tests,conftest.py,Import,8,8,0,A2
tests,conftest.py,Import,10,10,0,A2
tests,conftest.py,Import,39,39,4,A2
tests,conftest.py,From,12,12,0,A2
tests,conftest.py,From,2,2,4,A2
tests,conftest.py,From,4,4,4,A2
tests,conftest.py,From,5,5,4,A2
tests,conftest.py,Exception --> try/except,1,5,0,B1
tests,conftest.py,Function with Simple argument,15,22,0,A1
tests,conftest.py,Function with Simple argument,26,27,0,A1
tests,conftest.py,Function with Simple argument,31,32,0,A1
tests,conftest.py,Function with Simple argument,36,58,0,A1
tests,conftest.py,Function with * argument ,19,20,4,B1
tests,conftest.py,Return,22,22,4,A1
tests,conftest.py,Return,27,27,4,A1
tests,conftest.py,Return,32,32,4,A1
tests,conftest.py,Return,20,20,8,A1
tests,conftest.py,Generator Function (yield),55,55,4,C1
