Repository,File Name,Class,Start Line,End Line,Displacement,Level
requests,utils.py,Simple List,393,393,13,A1
requests,utils.py,Simple List,611,611,22,A1
requests,utils.py,Simple List,847,852,17,A1
requests,utils.py,Simple List,920,920,12,A1
requests,utils.py,Simple List,281,281,26,A1
requests,utils.py,Simple List,1007,1007,26,A1
requests,utils.py,Simple Tuple,61,61,14,A1
requests,utils.py,Simple Tuple,274,274,4,A1
requests,utils.py,Simple Tuple,303,303,4,A1
requests,utils.py,Simple Tuple,522,522,4,A1
requests,utils.py,Simple Tuple,522,522,27,A1
requests,utils.py,Simple Tuple,535,535,11,A1
requests,utils.py,Simple Tuple,550,550,4,A1
requests,utils.py,Simple Tuple,690,690,4,A1
requests,utils.py,Simple Tuple,994,994,4,A1
requests,utils.py,Simple Tuple,1038,1038,4,A1
requests,utils.py,Simple Tuple,1068,1068,4,A1
requests,utils.py,Simple Tuple,204,204,26,A1
requests,utils.py,Simple Tuple,252,252,11,A1
requests,utils.py,Simple Tuple,276,276,8,A1
requests,utils.py,Simple Tuple,334,334,25,A1
requests,utils.py,Simple Tuple,360,360,25,A1
requests,utils.py,Simple Tuple,429,429,8,A1
requests,utils.py,Simple Tuple,963,963,17,A1
requests,utils.py,Simple Tuple,967,967,21,A1
requests,utils.py,Simple Tuple,1002,1002,8,A1
requests,utils.py,Simple Tuple,1002,1002,23,A1
requests,utils.py,Simple Tuple,1013,1013,22,A1
requests,utils.py,Simple Tuple,1025,1025,15,A1
requests,utils.py,Simple Tuple,1026,1026,11,A1
requests,utils.py,Simple Tuple,1072,1072,8,A1
requests,utils.py,Simple Tuple,1072,1072,23,A1
requests,utils.py,Simple Tuple,1076,1076,22,A1
requests,utils.py,Simple Tuple,91,91,15,A1
requests,utils.py,Simple Tuple,245,245,15,A1
requests,utils.py,Simple Tuple,529,529,12,A1
requests,utils.py,Simple Tuple,529,529,25,A1
requests,utils.py,Simple Tuple,815,815,15,A1
requests,utils.py,Simple Tuple,930,930,12,A1
requests,utils.py,Simple Tuple,1027,1027,15,A1
requests,utils.py,Simple Tuple,244,244,23,A1
requests,utils.py,Simple Tuple,932,932,12,A1
requests,utils.py,Simple Tuple,932,932,26,A1
requests,utils.py,Simple Tuple,938,938,16,A1
