Repository,File Name,Class,Start Line,End Line,Displacement,Level
requests,_internal_utils.py,Simple Atributte,39,39,8,A2
requests,_internal_utils.py,Simple Atributte,23,23,18,A2
requests,_internal_utils.py,Simple Atributte,25,25,18,A2
requests,_internal_utils.py,Simple Assignment,20,20,8,A1
requests,_internal_utils.py,Simple Assignment,23,23,12,A1
requests,_internal_utils.py,Simple Assignment,25,25,12,A1
requests,_internal_utils.py,'assert' exception,37,37,4,B2
requests,_internal_utils.py,Relative From,11,11,0,B1
requests,_internal_utils.py,Simple If statements,19,25,4,A1
requests,_internal_utils.py,Simple If statements,22,25,8,A1
requests,_internal_utils.py,Exception --> try/except,38,42,4,B1
requests,_internal_utils.py,Function with Simple argument with Default argument,14,27,0,A2
requests,_internal_utils.py,Function with Simple argument,30,42,0,A1
requests,_internal_utils.py,Return,27,27,4,A1
requests,_internal_utils.py,Return,40,40,8,A1
requests,_internal_utils.py,Return,42,42,8,A1
