Repository,File Name,Class,Start Line,End Line,Displacement,Level
requests,auth.py,Simple List,87,90,19,A1
requests,auth.py,Simple List,299,302,19,A1
requests,auth.py,Simple Tuple,182,182,26,A1
requests,auth.py,Simple Tuple,183,183,23,A1
requests,auth.py,Simple Tuple,217,217,33,A1
requests,auth.py,Simple Tuple,225,225,57,A1
requests,auth.py,Simple Tuple,169,169,46,A1
requests,auth.py,Simple Tuple,200,200,41,A1
requests,auth.py,Simple Tuple,203,203,40,A1
requests,auth.py,Simple Tuple,205,207,42,A1
requests,auth.py,Simple Tuple,66,66,28,A1
requests,auth.py,Simple Dictionary,123,123,38,A2
requests,auth.py,Simple Atributte,83,83,8,A2
requests,auth.py,Simple Atributte,84,84,8,A2
requests,auth.py,Simple Atributte,112,112,8,A2
requests,auth.py,Simple Atributte,113,113,8,A2
requests,auth.py,Simple Atributte,115,115,8,A2
requests,auth.py,Simple Atributte,179,179,11,A2
requests,auth.py,Simple Atributte,213,213,8,A2
requests,auth.py,Simple Atributte,231,231,11,A2
requests,auth.py,Simple Atributte,275,275,8,A2
requests,auth.py,Simple Atributte,282,282,11,A2
requests,auth.py,Simple Atributte,294,294,8,A2
requests,auth.py,Simple Atributte,39,39,8,A2
requests,auth.py,Simple Atributte,49,49,8,A2
requests,auth.py,Simple Atributte,60,60,19,A2
requests,auth.py,Simple Atributte,63,63,19,A2
requests,auth.py,Simple Atributte,96,96,8,A2
requests,auth.py,Simple Atributte,96,96,53,A2
requests,auth.py,Simple Atributte,96,96,68,A2
requests,auth.py,Simple Atributte,104,104,8,A2
requests,auth.py,Simple Atributte,104,104,59,A2
requests,auth.py,Simple Atributte,104,104,74,A2
requests,auth.py,Simple Atributte,115,115,29,A2
requests,auth.py,Simple Atributte,120,120,12,A2
requests,auth.py,Simple Atributte,121,121,12,A2
requests,auth.py,Simple Atributte,122,122,12,A2
requests,auth.py,Simple Atributte,123,123,12,A2
requests,auth.py,Simple Atributte,124,124,12,A2
requests,auth.py,Simple Atributte,125,125,12,A2
requests,auth.py,Simple Atributte,132,132,16,A2
requests,auth.py,Simple Atributte,133,133,16,A2
requests,auth.py,Simple Atributte,134,134,14,A2
requests,auth.py,Simple Atributte,135,135,20,A2
requests,auth.py,Simple Atributte,136,136,17,A2
requests,auth.py,Simple Atributte,178,178,15,A2
requests,auth.py,Simple Atributte,188,188,20,A2
requests,auth.py,Simple Atributte,189,189,12,A2
requests,auth.py,Simple Atributte,191,191,12,A2
requests,auth.py,Simple Atributte,192,192,27,A2
requests,auth.py,Simple Atributte,193,193,12,A2
requests,auth.py,Simple Atributte,194,194,13,A2
requests,auth.py,Simple Atributte,195,195,13,A2
requests,auth.py,Simple Atributte,196,196,13,A2
requests,auth.py,Simple Atributte,213,213,8,A2
requests,auth.py,Simple Atributte,232,232,12,A2
requests,auth.py,Simple Atributte,244,244,12,A2
requests,auth.py,Simple Atributte,247,247,11,A2
requests,auth.py,Simple Atributte,251,251,17,A2
requests,auth.py,Simple Atributte,255,255,12,A2
requests,auth.py,Simple Atributte,257,257,12,A2
