Repository,File Name,Class,Start Line,End Line,Displacement,Level
requests,models.py,Simple List,601,604,16,A1
requests,models.py,Simple List,67,67,14,A1
requests,models.py,Simple List,126,126,21,A1
requests,models.py,Simple List,633,633,23,A1
requests,models.py,Simple List,233,233,15,A1
requests,models.py,Simple List,234,234,16,A1
requests,models.py,Simple List,480,483,24,A1
requests,models.py,Simple List,591,591,25,A1
requests,models.py,Simple List,132,132,22,A1
requests,models.py,Simple List,443,443,37,A1
requests,models.py,Simple List,98,98,21,A1
requests,models.py,Simple List,101,101,25,A1
requests,models.py,Simple Tuple,49,55,17,A1
requests,models.py,Simple Tuple,130,130,12,A1
requests,models.py,Simple Tuple,143,143,12,A1
requests,models.py,Simple Tuple,171,171,8,A1
requests,models.py,Simple Tuple,173,173,15,A1
requests,models.py,Simple Tuple,240,240,12,A1
requests,models.py,Simple Tuple,668,668,12,A1
requests,models.py,Simple Tuple,93,93,28,A1
requests,models.py,Simple Tuple,384,384,12,A1
requests,models.py,Simple Tuple,433,433,30,A1
requests,models.py,Simple Tuple,872,872,15,A1
requests,models.py,Simple Tuple,147,147,29,A1
requests,models.py,Simple Tuple,158,158,30,A1
requests,models.py,Simple Tuple,406,406,29,A1
requests,models.py,Simple Tuple,454,454,16,A1
requests,models.py,Simple Tuple,488,488,19,A1
requests,models.py,Simple Tuple,514,514,16,A1
requests,models.py,Simple Tuple,727,727,67,A1
requests,models.py,Simple Tuple,954,954,66,A1
requests,models.py,Simple Tuple,99,99,16,A1
requests,models.py,Simple Tuple,149,149,20,A1
requests,models.py,Simple Tuple,439,439,34,A1
requests,models.py,Simple Tuple,499,499,23,A1
requests,models.py,Simple Tuple,539,539,32,A1
requests,models.py,Simple Tuple,957,957,66,A1
requests,models.py,Simple Tuple,140,141,24,A1
requests,models.py,Simple Tuple,151,151,20,A1
requests,models.py,Simple Tuple,153,153,20,A1
requests,models.py,Simple Tuple,482,482,33,A1
requests,models.py,Simple Tuple,105,106,28,A1
requests,models.py,Simple Dictionary,926,926,12,A2
requests,models.py,Simple Dictionary,235,235,18,A2
requests,models.py,Simple Dictionary,236,236,17,A2
requests,models.py,Simple Dictionary,237,237,16,A2
requests,models.py,Simple Dictionary,639,639,43,A2
requests,models.py,Simple Dictionary,127,127,41,A2
requests,models.py,Simple Dictionary,128,128,41,A2
requests,models.py,Files --> 'read' call function,161,161,24,A2
requests,models.py,Files --> 'read' call function,771,771,28,A2
requests,models.py,If statements expression (else),233,233,15,B1
requests,models.py,If statements expression (else),234,234,16,B1
requests,models.py,If statements expression (else),235,235,18,B1
requests,models.py,If statements expression (else),236,236,17,B1
requests,models.py,If statements expression (else),237,237,16,B1
requests,models.py,If statements expression (else),337,337,20,B1
requests,models.py,If statements expression (else),787,787,17,B1
requests,models.py,If statements expression (else),370,370,18,B1
requests,models.py,If statements expression (else),550,550,19,B1
requests,models.py,If statements expression (else),140,140,25,B1
requests,models.py,If statements expression (else),141,141,25,B1
requests,models.py,If statements expression (else),105,105,29,B1
requests,models.py,If statements expression (else),106,106,29,B1
