Repository,File Name,Class,Start Line,End Line,Displacement,Level
requests,utils.py,Simple List,388,388,13,A1
requests,utils.py,Simple List,606,606,22,A1
requests,utils.py,Simple List,842,847,17,A1
requests,utils.py,Simple List,915,915,12,A1
requests,utils.py,Simple List,276,276,26,A1
requests,utils.py,Simple List,1002,1002,26,A1
requests,utils.py,Simple Tuple,56,56,14,A1
requests,utils.py,Simple Tuple,269,269,4,A1
requests,utils.py,Simple Tuple,298,298,4,A1
requests,utils.py,Simple Tuple,517,517,4,A1
requests,utils.py,Simple Tuple,517,517,27,A1
requests,utils.py,Simple Tuple,530,530,11,A1
requests,utils.py,Simple Tuple,545,545,4,A1
requests,utils.py,Simple Tuple,685,685,4,A1
requests,utils.py,Simple Tuple,989,989,4,A1
requests,utils.py,Simple Tuple,1033,1033,4,A1
requests,utils.py,Simple Tuple,1060,1060,4,A1
requests,utils.py,Simple Tuple,199,199,26,A1
requests,utils.py,Simple Tuple,247,247,11,A1
requests,utils.py,Simple Tuple,271,271,8,A1
requests,utils.py,Simple Tuple,329,329,25,A1
requests,utils.py,Simple Tuple,355,355,25,A1
requests,utils.py,Simple Tuple,424,424,8,A1
requests,utils.py,Simple Tuple,958,958,17,A1
requests,utils.py,Simple Tuple,962,962,21,A1
requests,utils.py,Simple Tuple,997,997,8,A1
requests,utils.py,Simple Tuple,997,997,23,A1
requests,utils.py,Simple Tuple,1008,1008,22,A1
requests,utils.py,Simple Tuple,1020,1020,15,A1
requests,utils.py,Simple Tuple,1021,1021,11,A1
requests,utils.py,Simple Tuple,1064,1064,8,A1
requests,utils.py,Simple Tuple,1064,1064,23,A1
requests,utils.py,Simple Tuple,1068,1068,22,A1
requests,utils.py,Simple Tuple,86,86,15,A1
requests,utils.py,Simple Tuple,240,240,15,A1
requests,utils.py,Simple Tuple,524,524,12,A1
requests,utils.py,Simple Tuple,524,524,25,A1
requests,utils.py,Simple Tuple,810,810,15,A1
requests,utils.py,Simple Tuple,925,925,12,A1
requests,utils.py,Simple Tuple,1022,1022,15,A1
requests,utils.py,Simple Tuple,239,239,23,A1
requests,utils.py,Simple Tuple,927,927,12,A1
requests,utils.py,Simple Tuple,927,927,26,A1
requests,utils.py,Simple Tuple,933,933,16,A1
requests,utils.py,Simple Tuple,141,141,15,A1
requests,utils.py,Simple Dictionary,60,60,16,A2
requests,utils.py,Simple Dictionary,419,419,13,A2
requests,utils.py,Simple Dictionary,464,464,18,A2
requests,utils.py,Simple Dictionary,518,518,18,A2
requests,utils.py,Simple Dictionary,826,826,15,A2
requests,utils.py,Simple Dictionary,837,837,25,A2
requests,utils.py,Simple Dictionary,868,868,50,A2
requests,utils.py,Simple Dictionary,898,903,8,A2
requests,utils.py,Simple Dictionary,929,929,15,A2
requests,utils.py,'range' call function,637,637,13,A2
requests,utils.py,Files --> 'write' call function,291,291,12,A2
requests,utils.py,Files --> 'read' call function,291,291,31,A2
requests,utils.py,If statements expression (else),868,868,14,B1
requests,utils.py,If statements expression (else),238,238,26,B1
requests,utils.py,Simple Atributte,295,295,1,A2
requests,utils.py,Simple Atributte,737,737,1,A2
requests,utils.py,Simple Atributte,58,58,25,A2
requests,utils.py,Simple Atributte,63,63,26,A2
requests,utils.py,Simple Atributte,68,68,3,A2
requests,utils.py,Simple Atributte,869,869,10,A2
requests,utils.py,Simple Atributte,870,870,13,A2
requests,utils.py,Simple Atributte,945,945,8,A2
requests,utils.py,Simple Atributte,995,995,13,A2
requests,utils.py,Simple Atributte,64,64,4,A2
requests,utils.py,Simple Atributte,197,197,17,A2
requests,utils.py,Simple Atributte,263,263,7,A2
requests,utils.py,Simple Atributte,269,269,22,A2
requests,utils.py,Simple Atributte,281,281,15,A2
requests,utils.py,Simple Atributte,286,286,10,A2
requests,utils.py,Simple Atributte,287,287,21,A2
requests,utils.py,Simple Atributte,298,298,31,A2
requests,utils.py,Simple Atributte,467,467,35,A2
requests,utils.py,Simple Atributte,488,488,4,A2
requests,utils.py,Simple Atributte,497,497,17,A2
requests,utils.py,Simple Atributte,498,498,16,A2
requests,utils.py,Simple Atributte,499,499,13,A2
requests,utils.py,Simple Atributte,516,516,13,A2
requests,utils.py,Simple Atributte,540,540,19,A2
requests,utils.py,Simple Atributte,561,561,7,A2
requests,utils.py,Simple Atributte,570,570,9,A2
