Repository,File Name,Class,Start Line,End Line,Displacement,Level
requests,adapters.py,Simple List,128,134,16,A1
requests,adapters.py,Simple Tuple,167,167,12,A1
requests,adapters.py,Simple Tuple,429,429,8,A1
requests,adapters.py,Simple Tuple,546,546,15,A1
requests,adapters.py,Simple Tuple,573,573,15,A1
requests,adapters.py,Simple Tuple,216,216,12,A1
requests,adapters.py,Simple Tuple,475,475,16,A1
requests,adapters.py,Simple Tuple,518,518,24,A1
requests,adapters.py,Simple Dictionary,147,147,22,A2
requests,adapters.py,Simple Dictionary,148,148,29,A2
requests,adapters.py,Simple Dictionary,164,164,29,A2
requests,adapters.py,Simple Dictionary,165,165,22,A2
requests,adapters.py,Simple Dictionary,428,428,18,A2
requests,adapters.py,Simple Dictionary,312,312,72,A2
requests,adapters.py,Super Function,75,75,8,C2
requests,adapters.py,Super Function,150,150,8,C2
requests,adapters.py,Simple Atributte,147,147,8,A2
requests,adapters.py,Simple Atributte,148,148,8,A2
requests,adapters.py,Simple Atributte,152,152,8,A2
requests,adapters.py,Simple Atributte,153,153,8,A2
requests,adapters.py,Simple Atributte,154,154,8,A2
requests,adapters.py,Simple Atributte,164,164,8,A2
requests,adapters.py,Simple Atributte,165,165,8,A2
requests,adapters.py,Simple Atributte,189,189,8,A2
requests,adapters.py,Simple Atributte,190,190,8,A2
requests,adapters.py,Simple Atributte,191,191,8,A2
requests,adapters.py,Simple Atributte,193,193,8,A2
requests,adapters.py,Simple Atributte,309,309,8,A2
requests,adapters.py,Simple Atributte,312,312,8,A2
requests,adapters.py,Simple Atributte,315,315,8,A2
requests,adapters.py,Simple Atributte,316,316,8,A2
requests,adapters.py,Simple Atributte,317,317,8,A2
requests,adapters.py,Simple Atributte,317,317,26,A2
requests,adapters.py,Simple Atributte,328,328,8,A2
requests,adapters.py,Simple Atributte,329,329,8,A2
requests,adapters.py,Simple Atributte,387,387,17,A2
requests,adapters.py,Simple Atributte,395,395,14,A2
requests,adapters.py,Simple Atributte,75,75,8,A2
requests,adapters.py,Simple Atributte,144,144,12,A2
requests,adapters.py,Simple Atributte,146,146,12,A2
requests,adapters.py,Simple Atributte,150,150,8,A2
requests,adapters.py,Simple Atributte,156,156,8,A2
requests,adapters.py,Simple Atributte,167,167,27,A2
requests,adapters.py,Simple Atributte,170,170,8,A2
requests,adapters.py,Simple Atributte,171,171,12,A2
requests,adapters.py,Simple Atributte,171,171,36,A2
requests,adapters.py,Simple Atributte,213,213,20,A2
requests,adapters.py,Simple Atributte,268,268,12,A2
requests,adapters.py,Simple Atributte,275,275,12,A2
requests,adapters.py,Simple Atributte,276,276,12,A2
requests,adapters.py,Simple Atributte,277,277,12,A2
requests,adapters.py,Simple Atributte,315,315,54,A2
requests,adapters.py,Simple Atributte,317,317,26,A2
requests,adapters.py,Simple Atributte,319,319,22,A2
requests,adapters.py,Simple Atributte,320,320,12,A2
requests,adapters.py,Simple Atributte,322,322,12,A2
requests,adapters.py,Simple Atributte,322,322,27,A2
requests,adapters.py,Simple Atributte,325,325,31,A2
requests,adapters.py,Simple Atributte,368,368,8,A2
requests,adapters.py,Simple Atributte,369,369,21,A2
requests,adapters.py,Simple Atributte,386,386,29,A2
requests,adapters.py,Simple Atributte,460,460,8,A2
requests,adapters.py,Simple Atributte,460,460,31,A2
requests,adapters.py,Simple Atributte,461,461,14,A2
requests,adapters.py,Simple Atributte,462,462,8,A2
requests,adapters.py,Simple Atributte,584,584,15,A2
requests,adapters.py,Simple Atributte,146,146,31,A2
requests,adapters.py,Simple Atributte,159,159,60,A2
requests,adapters.py,Simple Atributte,171,171,62,A2
requests,adapters.py,Simple Atributte,214,214,22,A2
requests,adapters.py,Simple Atributte,215,215,13,A2
requests,adapters.py,Simple Atributte,251,251,11,A2
requests,adapters.py,Simple Atributte,271,271,16,A2
requests,adapters.py,Simple Atributte,273,273,16,A2
requests,adapters.py,Simple Atributte,281,281,16,A2
requests,adapters.py,Simple Atributte,282,282,16,A2
requests,adapters.py,Simple Atributte,284,284,16,A2
requests,adapters.py,Simple Atributte,285,285,16,A2
requests,adapters.py,Simple Atributte,286,286,15,A2
requests,adapters.py,Simple Atributte,291,291,15,A2
requests,adapters.py,Simple Atributte,320,320,27,A2
