Repository,File Name,Class,Start Line,End Line,Displacement,Level
requests,status_codes.py,Simple Tuple,25,25,9,A1
requests,status_codes.py,Simple Tuple,26,26,9,A1
requests,status_codes.py,Simple Tuple,27,27,9,A1
requests,status_codes.py,Simple Tuple,28,28,9,A1
requests,status_codes.py,Simple Tuple,29,29,9,A1
requests,status_codes.py,Simple Tuple,30,30,9,A1
requests,status_codes.py,Simple Tuple,31,31,9,A1
requests,status_codes.py,Simple Tuple,32,32,9,A1
requests,status_codes.py,Simple Tuple,33,33,9,A1
requests,status_codes.py,Simple Tuple,34,34,9,A1
requests,status_codes.py,Simple Tuple,35,35,9,A1
requests,status_codes.py,Simple Tuple,36,36,9,A1
requests,status_codes.py,Simple Tuple,37,37,9,A1
requests,status_codes.py,Simple Tuple,38,38,9,A1
requests,status_codes.py,Simple Tuple,39,39,9,A1
requests,status_codes.py,Simple Tuple,41,41,9,A1
requests,status_codes.py,Simple Tuple,42,42,9,A1
requests,status_codes.py,Simple Tuple,43,43,9,A1
requests,status_codes.py,Simple Tuple,44,44,9,A1
requests,status_codes.py,Simple Tuple,45,45,9,A1
requests,status_codes.py,Simple Tuple,46,46,9,A1
requests,status_codes.py,Simple Tuple,47,47,9,A1
requests,status_codes.py,Simple Tuple,48,48,9,A1
requests,status_codes.py,Simple Tuple,49,53,9,A1
requests,status_codes.py,Simple Tuple,55,55,9,A1
requests,status_codes.py,Simple Tuple,56,56,9,A1
requests,status_codes.py,Simple Tuple,57,57,9,A1
requests,status_codes.py,Simple Tuple,58,58,9,A1
requests,status_codes.py,Simple Tuple,59,59,9,A1
requests,status_codes.py,Simple Tuple,60,60,9,A1
requests,status_codes.py,Simple Tuple,61,61,9,A1
requests,status_codes.py,Simple Tuple,62,62,9,A1
requests,status_codes.py,Simple Tuple,63,63,9,A1
requests,status_codes.py,Simple Tuple,64,64,9,A1
requests,status_codes.py,Simple Tuple,65,65,9,A1
requests,status_codes.py,Simple Tuple,66,66,9,A1
requests,status_codes.py,Simple Tuple,67,67,9,A1
requests,status_codes.py,Simple Tuple,68,68,9,A1
requests,status_codes.py,Simple Tuple,69,69,9,A1
requests,status_codes.py,Simple Tuple,70,70,9,A1
requests,status_codes.py,Simple Tuple,71,75,9,A1
requests,status_codes.py,Simple Tuple,76,76,9,A1
requests,status_codes.py,Simple Tuple,77,77,9,A1
requests,status_codes.py,Simple Tuple,78,78,9,A1
requests,status_codes.py,Simple Tuple,79,79,9,A1
requests,status_codes.py,Simple Tuple,80,80,9,A1
requests,status_codes.py,Simple Tuple,81,81,9,A1
requests,status_codes.py,Simple Tuple,82,82,9,A1
requests,status_codes.py,Simple Tuple,83,83,9,A1
requests,status_codes.py,Simple Tuple,84,84,9,A1
requests,status_codes.py,Simple Tuple,85,85,9,A1
requests,status_codes.py,Simple Tuple,86,86,9,A1
requests,status_codes.py,Simple Tuple,87,87,9,A1
requests,status_codes.py,Simple Tuple,88,88,9,A1
requests,status_codes.py,Simple Tuple,89,89,9,A1
requests,status_codes.py,Simple Tuple,90,90,9,A1
requests,status_codes.py,Simple Tuple,91,91,9,A1
requests,status_codes.py,Simple Tuple,93,93,9,A1
requests,status_codes.py,Simple Tuple,94,94,9,A1
requests,status_codes.py,Simple Tuple,95,95,9,A1
requests,status_codes.py,Simple Tuple,96,96,9,A1
requests,status_codes.py,Simple Tuple,97,97,9,A1
requests,status_codes.py,Simple Tuple,98,98,9,A1
requests,status_codes.py,Simple Tuple,99,99,9,A1
requests,status_codes.py,Simple Tuple,100,100,9,A1
requests,status_codes.py,Simple Tuple,101,101,9,A1
requests,status_codes.py,Simple Tuple,102,102,9,A1
requests,status_codes.py,Simple Tuple,103,103,9,A1
requests,status_codes.py,Simple Tuple,110,110,8,A1
requests,status_codes.py,Simple Tuple,118,118,28,A1
requests,status_codes.py,Simple Tuple,113,113,36,A1
requests,status_codes.py,Simple Dictionary,23,104,9,A2
requests,status_codes.py,If statements expression (else),122,124,8,B1
requests,status_codes.py,Simple Atributte,110,110,24,A2
requests,status_codes.py,Simple Atributte,117,117,16,A2
requests,status_codes.py,Simple Atributte,122,122,25,A2
requests,status_codes.py,Simple Atributte,113,113,19,A2
requests,status_codes.py,Simple Atributte,114,114,31,A2
requests,status_codes.py,Generator Expression,117,117,25,C1
requests,status_codes.py,Generator Expression,122,122,34,C1
requests,status_codes.py,Simple Assignment,23,104,0,A1
requests,status_codes.py,Simple Assignment,106,106,0,A1
requests,status_codes.py,Simple Assignment,121,125,4,A1
requests,status_codes.py,Simple Assignment,117,117,8,A1
requests,status_codes.py,Relative From,21,21,0,B1
requests,status_codes.py,Simple If statements,113,114,12,A1
requests,status_codes.py,For Loop with Tuple as name,110,114,4,A2
requests,status_codes.py,Simple For Loop,111,114,8,A1
requests,status_codes.py,Function,109,125,0,A1
requests,status_codes.py,Function with Simple argument,116,118,4,A1
requests,status_codes.py,Return,118,118,8,A1
