Repository,File Name,Class,Start Line,End Line,Displacement,Level
requests,sessions.py,Simple List,376,389,16,A1
requests,sessions.py,Simple List,173,173,15,A1
requests,sessions.py,Simple List,97,97,65,A1
requests,sessions.py,Simple List,100,100,65,A1
requests,sessions.py,Simple List,727,727,22,A1
requests,sessions.py,Simple List,201,201,31,A1
requests,sessions.py,Simple Tuple,148,148,23,A1
requests,sessions.py,Simple Tuple,788,788,12,A1
requests,sessions.py,Simple Tuple,817,817,12,A1
requests,sessions.py,Simple Tuple,84,84,23,A1
requests,sessions.py,Simple Tuple,323,323,12,A1
requests,sessions.py,Simple Tuple,762,762,16,A1
requests,sessions.py,Simple Tuple,139,139,35,A1
requests,sessions.py,Simple Tuple,141,141,35,A1
requests,sessions.py,Simple Tuple,187,187,19,A1
requests,sessions.py,Simple Tuple,224,227,39,A1
requests,sessions.py,Simple Tuple,229,229,33,A1
requests,sessions.py,Simple Tuple,325,325,12,A1
requests,sessions.py,Simple Tuple,325,325,33,A1
requests,sessions.py,Simple Dictionary,405,405,23,A2
requests,sessions.py,Simple Dictionary,413,413,22,A2
requests,sessions.py,Simple Dictionary,584,587,22,A2
requests,sessions.py,Simple Dictionary,780,780,15,A2
requests,sessions.py,Simple Dictionary,446,446,43,A2
requests,sessions.py,Simple Dictionary,469,469,37,A2
requests,sessions.py,Simple Dictionary,577,577,29,A2
requests,sessions.py,Simple Dictionary,568,568,25,A2
requests,sessions.py,Simple Dictionary,570,570,29,A2
requests,sessions.py,Files --> 'read' call function,188,188,16,A2
requests,sessions.py,If statements expression (else),299,299,19,B1
requests,sessions.py,If statements expression (else),760,760,23,B1
requests,sessions.py,Simple Atributte,55,55,3,A2
requests,sessions.py,Simple Atributte,56,56,22,A2
requests,sessions.py,Simple Atributte,58,58,22,A2
requests,sessions.py,Simple Atributte,80,80,4,A2
requests,sessions.py,Simple Atributte,115,115,11,A2
requests,sessions.py,Simple Atributte,176,176,28,A2
requests,sessions.py,Simple Atributte,288,288,18,A2
requests,sessions.py,Simple Atributte,289,289,14,A2
requests,sessions.py,Simple Atributte,315,315,18,A2
requests,sessions.py,Simple Atributte,316,316,17,A2
requests,sessions.py,Simple Atributte,338,338,17,A2
requests,sessions.py,Simple Atributte,354,354,8,A2
requests,sessions.py,Simple Atributte,396,396,8,A2
requests,sessions.py,Simple Atributte,400,400,8,A2
requests,sessions.py,Simple Atributte,405,405,8,A2
requests,sessions.py,Simple Atributte,408,408,8,A2
requests,sessions.py,Simple Atributte,413,413,8,A2
requests,sessions.py,Simple Atributte,416,416,8,A2
requests,sessions.py,Simple Atributte,426,426,8,A2
requests,sessions.py,Simple Atributte,430,430,8,A2
requests,sessions.py,Simple Atributte,436,436,8,A2
requests,sessions.py,Simple Atributte,440,440,8,A2
requests,sessions.py,Simple Atributte,446,446,8,A2
requests,sessions.py,Simple Atributte,449,449,8,A2
requests,sessions.py,Simple Atributte,481,481,15,A2
requests,sessions.py,Simple Atributte,694,694,16,A2
requests,sessions.py,Simple Atributte,707,707,8,A2
requests,sessions.py,Simple Atributte,713,713,11,A2
requests,sessions.py,Simple Atributte,758,758,11,A2
